material,family,property,value,unit,temperature_C,value_low,value_high,method_or_basis,source_citation,source_locator,notes,disagreement_flag
Solar Salt (NaNO3-KNO3 60/40 wt%),"nitrate salt (sensible, liquid)",cost_indicative,800,USD/tonne,,500,1000,"indicative bulk commodity price, ~2017-2018 basis","Turchi, Vidal, Bauer 2018, Solar Energy, Molten salt power towers operating at 600-650 C",Solar Energy 164:38-46 (vol/pages from memory; verify),INDICATIVE ONLY. Nitrate salt prices move with fertiliser markets; older CSP studies use ~500 USD/tonne. Year basis matters more than source identity. See D3.,yes:D3
Hitec (NaNO2 40 / NaNO3 7 / KNO3 53 wt%),"nitrate-nitrite salt (sensible, liquid)",melting_point,142,C,,,,vendor/review compilation,"Vignarooban et al. 2015, Applied Energy, Heat transfer fluids for concentrating solar power systems - a review",Applied Energy 146:383-396 (vol/pages from memory; verify),Low freezing point is the main advantage over Solar Salt.,no
Hitec (NaNO2 40 / NaNO3 7 / KNO3 53 wt%),"nitrate-nitrite salt (sensible, liquid)",max_operating_temperature,454,C,,,,continuous-service limit from vendor/review compilation,"Vignarooban et al. 2015, Applied Energy, Heat transfer fluids for concentrating solar power systems - a review",Applied Energy 146:383-396 (vol/pages from memory; verify),"Short-term peak often quoted near 535-538 C; nitrite oxidises to nitrate in air, changing the mixture over time.",no
Hitec (NaNO2 40 / NaNO3 7 / KNO3 53 wt%),"nitrate-nitrite salt (sensible, liquid)",density,,kg/m3,,,,,,,GAP: no density value entered. This contributor could not attribute a specific value/temperature pair to a source with confidence.,gap
Hitec (NaNO2 40 / NaNO3 7 / KNO3 53 wt%),"nitrate-nitrite salt (sensible, liquid)",heat_capacity,,J/(kg K),,,,,,,GAP: no heat capacity value entered (same reason as density row).,gap
NaNO3,"nitrate salt (sensible, liquid)",melting_point,307,C,,306,308,handbook compilation of pure-compound data,"CRC Handbook of Chemistry and Physics (Rumble ed.), CRC Press","CRC Handbook, Physical Constants of Inorganic Compounds",Sources quote 306-308 C; spread is within measurement/purity noise and is not treated as a disagreement.,no
NaNO3,"nitrate salt (sensible, liquid)",latent_heat_fusion,175,kJ/kg,307,172,178,handbook molar enthalpy of fusion converted using M = 84.99 g/mol,"CRC Handbook of Chemistry and Physics (Rumble ed.), CRC Press","CRC Handbook, Physical Constants of Inorganic Compounds","Value converted by this contributor from the molar enthalpy; conversion arithmetic is mine, the molar value is the source's. Verify the molar value.",no
KNO3,"nitrate salt (sensible, liquid)",melting_point,334,C,,,,handbook compilation of pure-compound data,"CRC Handbook of Chemistry and Physics (Rumble ed.), CRC Press","CRC Handbook, Physical Constants of Inorganic Compounds",KNO3 also has a solid-solid (rhombohedral/trigonal) transition near 128 C that carries its own enthalpy.,no
KNO3,"nitrate salt (sensible, liquid)",latent_heat_fusion,97,kJ/kg,334,88,100,handbook molar enthalpy of fusion converted using M = 101.10 g/mol,"CRC Handbook of Chemistry and Physics (Rumble ed.), CRC Press","CRC Handbook, Physical Constants of Inorganic Compounds",Conversion arithmetic is mine. Range reflects spread in quoted molar values; verify against the handbook edition used.,no
NaCl-KCl-MgCl2 eutectic,"chloride salt (sensible, liquid)",melting_point,,C,,380,400,program roadmap / salt-selection study,"Mehos et al. 2017, NREL, Concentrating Solar Power Gen3 Demonstration Roadmap",NREL/TP-5500-67464,"Several distinct ternary compositions are all called 'the' MgCl2-KCl-NaCl eutectic, and quoted melting points differ with composition. No single value entered on purpose. See D4.",yes:D4
NaCl-KCl-MgCl2 eutectic,"chloride salt (sensible, liquid)",max_operating_temperature,800,C,,,,"Gen3 CSP program target, containment-limited","Mehos et al. 2017, NREL, Concentrating Solar Power Gen3 Demonstration Roadmap",NREL/TP-5500-67464,"800 C is a program target set by the receiver/turbine cycle, not a property of the salt; the real limit is alloy corrosion and MgOHCl/water impurity control.",no
NaCl-KCl-MgCl2 eutectic,"chloride salt (sensible, liquid)",density,,kg/m3,,,,,,,"GAP: no density entered. Reported values depend on the exact ternary composition, which this contributor cannot pin to a source-composition pair with confidence. HIGH PRIORITY GAP.",gap
NaCl-KCl-MgCl2 eutectic,"chloride salt (sensible, liquid)",heat_capacity,,J/(kg K),,,,,,,"GAP: no cp entered, same reason as density. HIGH PRIORITY GAP - cp drives volumetric energy density directly.",gap
NaCl-KCl-MgCl2 eutectic,"chloride salt (sensible, liquid)",thermal_conductivity,,W/(m K),,,,,,,GAP: no k entered. Molten chloride k measurement is difficult for the same convection/radiation reasons raised for nitrates in D1.,gap
NaCl-KCl-MgCl2 eutectic,"chloride salt (sensible, liquid)",cost_indicative,350,USD/tonne,,,,"indicative bulk commodity price, ~2017-2018 basis","Turchi, Vidal, Bauer 2018, Solar Energy, Molten salt power towers operating at 600-650 C",Solar Energy 164:38-46 (vol/pages from memory; verify),INDICATIVE ONLY. Low cost relative to nitrate and carbonate is the main economic argument for chlorides; the number should not be used without re-pricing.,no
Li2CO3-Na2CO3-K2CO3 ternary eutectic,"carbonate salt (sensible, liquid)",melting_point,397,C,,395,400,review/database compilation,"Vignarooban et al. 2015, Applied Energy, Heat transfer fluids for concentrating solar power systems - a review",Applied Energy 146:383-396 (vol/pages from memory; verify),397 C is the value most commonly quoted for the ternary eutectic; composition is usually given as ~43.5/31.5/25 mol% Li/Na/K.,no
Li2CO3-Na2CO3-K2CO3 ternary eutectic,"carbonate salt (sensible, liquid)",max_operating_temperature,800,C,,,,review compilation; requires CO2 cover gas,"Serrano-Lopez, Fradera, Cuesta-Lopez 2013, Chemical Engineering and Processing, Molten salts database for energy applications",Chem. Eng. Process. 73:87-102 (vol/pages from memory; verify),"Upper limit is set by CO2 loss (decomposition to oxide) and is atmosphere-dependent, so it is a system limit rather than a material constant.",no
Li2CO3-Na2CO3-K2CO3 ternary eutectic,"carbonate salt (sensible, liquid)",thermal_conductivity,,W/(m K),,0.5,2.0,database compilation reporting large scatter across primary sources,"Serrano-Lopez, Fradera, Cuesta-Lopez 2013, Chemical Engineering and Processing, Molten salts database for energy applications",Chem. Eng. Process. 73:87-102 (vol/pages from memory; verify),Reported values span roughly a factor of four. No single value entered. See D5.,yes:D5
Li2CO3-Na2CO3-K2CO3 ternary eutectic,"carbonate salt (sensible, liquid)",cost_indicative,2250,USD/tonne,,2000,2500,"indicative bulk commodity price, ~2017-2018 basis","Turchi, Vidal, Bauer 2018, Solar Energy, Molten salt power towers operating at 600-650 C",Solar Energy 164:38-46 (vol/pages from memory; verify),INDICATIVE ONLY and strongly lithium-price-driven; this is the least stable cost figure in the table.,no
NaCl,"chloride salt (latent, PCM)",melting_point,801,C,,,,handbook compilation of pure-compound data,"CRC Handbook of Chemistry and Physics (Rumble ed.), CRC Press","CRC Handbook, Physical Constants of Inorganic Compounds",,no
NaCl,"chloride salt (latent, PCM)",latent_heat_fusion,482,kJ/kg,801,,,handbook molar enthalpy of fusion (28.16 kJ/mol) converted using M = 58.44 g/mol,"CRC Handbook of Chemistry and Physics (Rumble ed.), CRC Press","CRC Handbook, Physical Constants of Inorganic Compounds",Conversion arithmetic is mine. High latent heat per kg but the melting point is above most current turbine cycles.,no
NaCl,"chloride salt (latent, PCM)",density,2160,kg/m3,25,,,"handbook, solid at room temperature","CRC Handbook of Chemistry and Physics (Rumble ed.), CRC Press","CRC Handbook, Physical Constants of Inorganic Compounds",Solid density; liquid density near the melting point is lower and is not entered here.,no
NaCl,"chloride salt (latent, PCM)",heat_capacity,870,J/(kg K),25,850,880,"handbook, solid at room temperature","CRC Handbook of Chemistry and Physics (Rumble ed.), CRC Press","CRC Handbook, Physical Constants of Inorganic Compounds",Room-temperature solid value; cp rises with temperature and this value must not be used near 800 C.,no
High-temperature storage concrete (DLR-type castable),solid: cementitious,density,2750,kg/m3,25,2200,2800,measured on the storage-concrete mix used in trough-plant test modules,"Laing, Steinmann, Tamme, Richter 2006, Solar Energy, Solid media thermal storage for parabolic trough plants",Solar Energy 80(10):1283-1289 (vol/pages from memory; verify),Mix-specific. Range spans commonly reported storage-concrete mixes; density and cp both move with aggregate choice. See D6.,yes:D6
High-temperature storage concrete (DLR-type castable),solid: cementitious,heat_capacity,916,J/(kg K),,,,"mix-specific measurement, mean over the ~200-400 C working range","Laing, Steinmann, Tamme, Richter 2006, Solar Energy, Solid media thermal storage for parabolic trough plants",Solar Energy 80(10):1283-1289 (vol/pages from memory; verify),Reported as a single design value for the working range rather than a temperature-resolved curve. See D6.,yes:D6
High-temperature storage concrete (DLR-type castable),solid: cementitious,thermal_conductivity,1.0,W/(m K),,0.8,1.5,mix-specific measurement over the ~200-400 C working range,"Laing, Steinmann, Tamme, Richter 2006, Solar Energy, Solid media thermal storage for parabolic trough plants",Solar Energy 80(10):1283-1289 (vol/pages from memory; verify),Low k is the binding constraint for charge/discharge rate; embedded tube pitch is designed around it. See D6.,yes:D6
High-temperature storage concrete (DLR-type castable),solid: cementitious,max_operating_temperature,400,C,,,,trough-plant test-module operating limit,"Laing et al. 2012, Proceedings of the IEEE, High-temperature solid-media thermal energy storage",Proc. IEEE 100(2):516-524 (vol/pages from memory; verify),"Above roughly 400-500 C, loss of free and chemically bound water drives shrinkage, cracking and strength loss; this is a durability limit, not a melting limit.",no
"Castable ceramic (DLR-type, solid sensible module)",solid: castable ceramic,density,3500,kg/m3,25,,,measured on the castable-ceramic mix used in trough-plant test modules,"Laing, Steinmann, Tamme, Richter 2006, Solar Energy, Solid media thermal storage for parabolic trough plants",Solar Energy 80(10):1283-1289 (vol/pages from memory; verify),Mix-specific; higher density than storage concrete but the mix was reported as more expensive per unit stored energy.,no
"Castable ceramic (DLR-type, solid sensible module)",solid: castable ceramic,heat_capacity,866,J/(kg K),,,,"mix-specific measurement, mean over the working range","Laing, Steinmann, Tamme, Richter 2006, Solar Energy, Solid media thermal storage for parabolic trough plants",Solar Energy 80(10):1283-1289 (vol/pages from memory; verify),,no
"Castable ceramic (DLR-type, solid sensible module)",solid: castable ceramic,thermal_conductivity,1.35,W/(m K),,,,mix-specific measurement over the working range,"Laing, Steinmann, Tamme, Richter 2006, Solar Energy, Solid media thermal storage for parabolic trough plants",Solar Energy 80(10):1283-1289 (vol/pages from memory; verify),"Higher than storage concrete, which is the main technical argument for the ceramic mix.",no
Basalt / natural rock (packed bed),solid: natural rock,density,,kg/m3,25,2600,3000,representative range for basalt-type rock used in packed-bed pilots,"Zanganeh et al. 2012, Solar Energy, Packed-bed thermal storage for CSP - pilot-scale demonstration",Solar Energy 86(10):3084-3098 (vol/pages from memory; verify),"No single value entered: rock properties vary by quarry and lithology, so a bed must be characterised from its own feedstock. See D6.",yes:D6
Basalt / natural rock (packed bed),solid: natural rock,heat_capacity,,J/(kg K),20-500,800,1000,representative range; cp of silicate rock rises with temperature,"Zanganeh et al. 2012, Solar Energy, Packed-bed thermal storage for CSP - pilot-scale demonstration",Solar Energy 86(10):3084-3098 (vol/pages from memory; verify),Range only. Using a room-temperature cp at 500 C underestimates stored energy materially. See D6.,yes:D6
Basalt / natural rock (packed bed),solid: natural rock,thermal_conductivity,,W/(m K),,1.5,3.0,representative range for the rock solid (not the packed bed),"Zanganeh et al. 2012, Solar Energy, Packed-bed thermal storage for CSP - pilot-scale demonstration",Solar Energy 86(10):3084-3098 (vol/pages from memory; verify),Bed effective conductivity is much lower than the solid value and is dominated by contact resistance and void fraction; do not substitute one for the other.,yes:D6
Basalt / natural rock (packed bed),solid: natural rock,max_operating_temperature,,C,,600,800,pilot-scale packed-bed operating experience,"Zanganeh et al. 2012, Solar Energy, Packed-bed thermal storage for CSP - pilot-scale demonstration",Solar Energy 86(10):3084-3098 (vol/pages from memory; verify),"Indicative. The practical limit is thermal-shock spalling and attrition under cycling, not a phase change; see the degradation-mode records.",no
"Silica sand (quartz, granular)",solid: granular silica,density,2650,kg/m3,25,,,handbook value for quartz solid density,"CRC Handbook of Chemistry and Physics (Rumble ed.), CRC Press","CRC Handbook, Physical Constants of Inorganic Compounds",SOLID density. Packed bulk density is roughly 1500-1700 kg/m3; using the solid value for a bed overstates capacity by ~40%.,no
"Silica sand (quartz, granular)",solid: granular silica,heat_capacity,1100,J/(kg K),700,1000,1200,handbook temperature-dependent cp compilation,"Touloukian (ed.), Thermophysical Properties of Matter (TPRC Data Series), IFI/Plenum 1970","TPRC Data Series Vols 1-2 (thermal conductivity, specific heat)",Strongly temperature dependent: roughly 740 J/(kg K) at 25 C rising toward ~1100-1200 J/(kg K) at 700-800 C. Value at 700 C is approximate; verify.,no
"Silica sand (quartz, granular)",solid: granular silica,max_operating_temperature,800,C,,,,particle-receiver operating range reported in review,"Ho 2016, Applied Thermal Engineering, A review of high-temperature particle receivers for CSP",Applied Thermal Engineering 109:958-969 (vol/pages from memory; verify),Practical limit set by agglomeration/sintering and attrition in circulating systems rather than by the quartz itself.,no
"Silica sand (quartz, granular)",solid: granular silica,thermal_conductivity,,W/(m K),,0.2,0.4,effective conductivity of a static packed bed of particles,"Ho 2016, Applied Thermal Engineering, A review of high-temperature particle receivers for CSP",Applied Thermal Engineering 109:958-969 (vol/pages from memory; verify),"Bed effective value, not the quartz solid value. Static beds are poor conductors; this is why particle systems move the medium instead of conducting through it.",no
"Alumina (Al2O3, dense sintered/refractory)",solid: oxide ceramic,density,3900,kg/m3,25,3500,3980,handbook; range spans porosity of practical refractory grades,"Touloukian (ed.), Thermophysical Properties of Matter (TPRC Data Series), IFI/Plenum 1970","TPRC Data Series Vols 1-2 (thermal conductivity, specific heat)",3980 kg/m3 is the theoretical (pore-free) density; real refractory bricks are lower. Porosity must be stated with any alumina density. See D7.,yes:D7
"Alumina (Al2O3, dense sintered/refractory)",solid: oxide ceramic,heat_capacity,1150,J/(kg K),500,1100,1200,handbook temperature-dependent cp compilation,"Touloukian (ed.), Thermophysical Properties of Matter (TPRC Data Series), IFI/Plenum 1970","TPRC Data Series Vols 1-2 (thermal conductivity, specific heat)",Roughly 775 J/(kg K) at 25 C rising to ~1250 J/(kg K) near 1000 C. Approximate; verify at the temperature of interest.,no
"Alumina (Al2O3, dense sintered/refractory)",solid: oxide ceramic,thermal_conductivity,30,W/(m K),25,25,35,"handbook, dense polycrystalline alumina","Touloukian (ed.), Thermophysical Properties of Matter (TPRC Data Series), IFI/Plenum 1970","TPRC Data Series Vols 1-2 (thermal conductivity, specific heat)",Falls steeply with temperature; porosity reduces it further. See D7.,yes:D7
"Alumina (Al2O3, dense sintered/refractory)",solid: oxide ceramic,thermal_conductivity,7,W/(m K),800,5,10,"handbook, dense polycrystalline alumina","Touloukian (ed.), Thermophysical Properties of Matter (TPRC Data Series), IFI/Plenum 1970","TPRC Data Series Vols 1-2 (thermal conductivity, specific heat)",Approximate. The 25 C value is roughly 4-5x the 800 C value; quoting a single alumina k without a temperature is meaningless. See D7.,yes:D7
"Alumina (Al2O3, dense sintered/refractory)",solid: oxide ceramic,max_operating_temperature,1700,C,,,,refractory service limit for dense alumina,"Touloukian (ed.), Thermophysical Properties of Matter (TPRC Data Series), IFI/Plenum 1970","TPRC Data Series Vols 1-2 (thermal conductivity, specific heat)","Far above any storage requirement in scope; alumina is limited by cost and by creep/thermal shock in service, not by temperature.",no
"Magnesia (MgO, refractory)",solid: oxide ceramic,density,3580,kg/m3,25,3000,3580,handbook theoretical density; range spans practical refractory porosity,"CRC Handbook of Chemistry and Physics (Rumble ed.), CRC Press","CRC Handbook, Physical Constants of Inorganic Compounds",Theoretical density; refractory bricks are 15-25% lower. See D7.,yes:D7
"Magnesia (MgO, refractory)",solid: oxide ceramic,heat_capacity,,J/(kg K),500,1100,1250,handbook temperature-dependent cp compilation,"Touloukian (ed.), Thermophysical Properties of Matter (TPRC Data Series), IFI/Plenum 1970","TPRC Data Series Vols 1-2 (thermal conductivity, specific heat)",Range only: roughly 935 J/(kg K) at 25 C rising past 1200 J/(kg K) near 1000 C. No single value entered because this contributor could not confirm a specific tabulated 500 C figure.,no
"Magnesia (MgO, refractory)",solid: oxide ceramic,thermal_conductivity,,W/(m K),25-1000,7,50,"handbook, dense polycrystalline MgO","Touloukian (ed.), Thermophysical Properties of Matter (TPRC Data Series), IFI/Plenum 1970","TPRC Data Series Vols 1-2 (thermal conductivity, specific heat)",Very strong temperature dependence (tens of W/(m K) at room temperature down to single digits near 1000 C). Range only. See D7.,yes:D7
"Magnesia (MgO, refractory)",solid: oxide ceramic,max_operating_temperature,1700,C,,,,refractory service limit,"Touloukian (ed.), Thermophysical Properties of Matter (TPRC Data Series), IFI/Plenum 1970","TPRC Data Series Vols 1-2 (thermal conductivity, specific heat)","Practical caveat: MgO hydrates on exposure to moisture, which matters for storage/handling of the medium between campaigns.",no
Graphite (isotropic molded grade),solid: carbon,density,,kg/m3,25,1700,2000,grade-dependent range for molded/extruded graphite,"Touloukian (ed.), Thermophysical Properties of Matter (TPRC Data Series), IFI/Plenum 1970","TPRC Data Series Vols 1-2 (thermal conductivity, specific heat)","No single value entered: bulk density is a grade specification, not a material constant (theoretical density is 2260 kg/m3). See D7.",yes:D7
Graphite (isotropic molded grade),solid: carbon,heat_capacity,1700,J/(kg K),500,1600,1800,handbook temperature-dependent cp compilation,"Touloukian (ed.), Thermophysical Properties of Matter (TPRC Data Series), IFI/Plenum 1970","TPRC Data Series Vols 1-2 (thermal conductivity, specific heat)",Roughly 710 J/(kg K) at 25 C rising steeply; graphite cp is unusually temperature-sensitive. Value at 500 C approximate; verify.,no
Graphite (isotropic molded grade),solid: carbon,thermal_conductivity,,W/(m K),25,25,200,grade-dependent range: isotropic molded vs highly oriented material,"Touloukian (ed.), Thermophysical Properties of Matter (TPRC Data Series), IFI/Plenum 1970","TPRC Data Series Vols 1-2 (thermal conductivity, specific heat)",Spans nearly an order of magnitude across grades and directions. Any graphite k used for screening must name the grade and orientation. See D7.,yes:D7
Graphite (isotropic molded grade),solid: carbon,max_operating_temperature,,C,,400,500,oxidation onset in air,"Touloukian (ed.), Thermophysical Properties of Matter (TPRC Data Series), IFI/Plenum 1970","TPRC Data Series Vols 1-2 (thermal conductivity, specific heat)","IN AIR: oxidation becomes significant above roughly 400-500 C, so graphite storage requires inert cover gas. Onset temperature is grade- and impurity-dependent.",no
Graphite (isotropic molded grade),solid: carbon,max_operating_temperature,2000,C,,,,inert atmosphere or vacuum service,"Touloukian (ed.), Thermophysical Properties of Matter (TPRC Data Series), IFI/Plenum 1970","TPRC Data Series Vols 1-2 (thermal conductivity, specific heat)","IN INERT ATMOSPHERE: no practical temperature limit within scope. The two graphite max-temperature rows differ by atmosphere, not by source conflict.",no
"AlSi12 (Al-Si eutectic, ~12.6 wt% Si)","metallic alloy (latent, PCM)",melting_point,577,C,,576,578,binary Al-Si eutectic temperature from assessed phase diagram,"Kenisarin 2010, Renewable and Sustainable Energy Reviews, High-temperature phase change materials",RSER 14(3):955-970 (vol/pages from memory; verify),Eutectic composition is quoted between about 12.2 and 12.6 wt% Si depending on the assessment; the eutectic temperature is stable at 577 C.,no
"AlSi12 (Al-Si eutectic, ~12.6 wt% Si)","metallic alloy (latent, PCM)",latent_heat_fusion,560,kJ/kg,577,,,review compilation of measured DSC values,"Kenisarin 2010, Renewable and Sustainable Energy Reviews, High-temperature phase change materials",RSER 14(3):955-970 (vol/pages from memory; verify),CAUTION: lower values near 500-515 kJ/kg circulate in the PCM literature. This contributor could not attribute the low value to a specific primary source and so did NOT enter it as a row. Treat 560 as an upper-ish estimate pending verification. See D8.,yes:D8
"AlSi12 (Al-Si eutectic, ~12.6 wt% Si)","metallic alloy (latent, PCM)",density,2700,kg/m3,25,2600,2700,"handbook value for aluminium-silicon casting alloy, solid","Kenisarin 2010, Renewable and Sustainable Energy Reviews, High-temperature phase change materials",RSER 14(3):955-970 (vol/pages from memory; verify),"Solid density; the liquid is roughly 5-7% less dense, and that volume change is a container design issue.",no
"AlSi12 (Al-Si eutectic, ~12.6 wt% Si)","metallic alloy (latent, PCM)",thermal_conductivity,160,W/(m K),25,120,180,"handbook value for Al-Si casting alloy, solid","Kenisarin 2010, Renewable and Sustainable Energy Reviews, High-temperature phase change materials",RSER 14(3):955-970 (vol/pages from memory; verify),Two to three orders of magnitude above the salts - the main technical argument for metallic PCMs. Value is approximate and alloy-temper dependent.,no
"AlSi12 (Al-Si eutectic, ~12.6 wt% Si)","metallic alloy (latent, PCM)",max_operating_temperature,,C,,,,,,,"GAP: no value entered. The usable ceiling is set by container compatibility (molten Al-Si attacks steels), not by the alloy itself; see the containment record rather than this table.",gap
LiF-CaF2 eutectic (~80.5/19.5 mol%),"fluoride salt (latent, PCM)",melting_point,767,C,,,,review compilation of high-temperature PCM data,"Kenisarin 2010, Renewable and Sustainable Energy Reviews, High-temperature phase change materials",RSER 14(3):955-970 (vol/pages from memory; verify),Composition is usually quoted as 80.5/19.5 mol% LiF/CaF2.,no
LiF-CaF2 eutectic (~80.5/19.5 mol%),"fluoride salt (latent, PCM)",latent_heat_fusion,816,kJ/kg,767,,,review compilation of measured values,"Kenisarin 2010, Renewable and Sustainable Energy Reviews, High-temperature phase change materials",RSER 14(3):955-970 (vol/pages from memory; verify),"One of the highest volumetric latent heats in scope. Widely repeated across reviews, which means repetition is not independent confirmation - verify against a primary measurement.",no
LiF-CaF2 eutectic (~80.5/19.5 mol%),"fluoride salt (latent, PCM)",density,,kg/m3,,,,,,,GAP: no density entered; solid and liquid values differ substantially and this contributor could not pin a source-temperature pair.,gap
LiF-CaF2 eutectic (~80.5/19.5 mol%),"fluoride salt (latent, PCM)",cost_indicative,,USD/tonne,,,,,,,GAP: no cost entered. Lithium fluoride is expensive and lithium-price-linked; no defensible figure available to this contributor.,gap
