material,family,property,value,unit,temperature_C,value_low,value_high,method_or_basis,source_citation,source_locator,notes,disagreement_flag
Hitec NaNO3-KNO3-NaNO2,molten_nitrate_nitrite_salt,cost_per_tonne,930,USD_per_tonne,,700,1400,indicative storage media cost table in 2010 USD,"Gil et al. 2010, Renewable and Sustainable Energy Reviews 14(1)",10.1016/j.rser.2009.07.035,DEMO PLACEHOLDER; 2010 basis not escalated to present,
MgCl2-KCl-NaCl eutectic,molten_chloride_salt,density,1700,kg/m3,600,1620,1760,review of chloride salt technology for next-generation CSP,"Ding and Bauer 2021, Engineering 7(3)",10.1016/j.eng.2020.06.027,DEMO PLACEHOLDER indicative value for pipeline testing,
MgCl2-KCl-NaCl eutectic,molten_chloride_salt,heat_capacity,1000,J/kg-K,600,900,1100,review of chloride salt technology for next-generation CSP,"Ding and Bauer 2021, Engineering 7(3)",10.1016/j.eng.2020.06.027,DEMO PLACEHOLDER indicative value for pipeline testing,
MgCl2-KCl-NaCl eutectic,molten_chloride_salt,thermal_conductivity,0.40,W/m-K,600,0.30,0.55,review of chloride salt technology; measurement scatter is large,"Ding and Bauer 2021, Engineering 7(3)",10.1016/j.eng.2020.06.027,DEMO PLACEHOLDER indicative value for pipeline testing,
MgCl2-KCl-NaCl eutectic,molten_chloride_salt,melting_point,396,C,,380,420,reported eutectic melting temperature; composition dependent,"Ding and Bauer 2021, Engineering 7(3)",10.1016/j.eng.2020.06.027,DEMO PLACEHOLDER indicative value for pipeline testing,
MgCl2-KCl-NaCl eutectic,molten_chloride_salt,min_operating_temperature,450,C,,420,480,practical cold-side temperature with freeze margin,"Mehos et al. 2017, NREL Gen3 CSP Demonstration Roadmap",NREL/TP-5500-67464,DEMO PLACEHOLDER; system choice not a material property,
MgCl2-KCl-NaCl eutectic,molten_chloride_salt,max_operating_temperature,750,C,,700,800,Gen3 CSP target hot-side temperature; limited by containment corrosion not by the salt,"Mehos et al. 2017, NREL Gen3 CSP Demonstration Roadmap",NREL/TP-5500-67464,DEMO PLACEHOLDER; upper limit is a containment limit,
MgCl2-KCl-NaCl eutectic,molten_chloride_salt,cost_per_tonne,350,USD_per_tonne,,250,500,indicative bulk chloride salt cost; alternative A of a deliberate disagreement pair,"Ding and Bauer 2021, Engineering 7(3)",10.1016/j.eng.2020.06.027,DEMO PLACEHOLDER; cost basis year not stated,yes
MgCl2-KCl-NaCl eutectic,molten_chloride_salt,cost_per_tonne,220,USD_per_tonne,,150,300,lower indicative bulk chloride salt cost; alternative B of the disagreement pair,"Mehos et al. 2017, NREL Gen3 CSP Demonstration Roadmap",NREL/TP-5500-67464,DEMO PLACEHOLDER; purity level assumed for this price is unclear,yes
Li2CO3-Na2CO3-K2CO3 eutectic,molten_carbonate_salt,density,2000,kg/m3,600,1900,2100,review compilation of heat transfer fluid properties,"Vignarooban et al. 2015, Applied Energy 146",10.1016/j.apenergy.2015.01.125,DEMO PLACEHOLDER indicative value for pipeline testing,
Li2CO3-Na2CO3-K2CO3 eutectic,molten_carbonate_salt,heat_capacity,1600,J/kg-K,600,1450,1800,review compilation of heat transfer fluid properties,"Vignarooban et al. 2015, Applied Energy 146",10.1016/j.apenergy.2015.01.125,DEMO PLACEHOLDER indicative value for pipeline testing,
Li2CO3-Na2CO3-K2CO3 eutectic,molten_carbonate_salt,thermal_conductivity,0.60,W/m-K,600,0.40,1.10,literature scatter for carbonate melts is very large,"Vignarooban et al. 2015, Applied Energy 146",10.1016/j.apenergy.2015.01.125,DEMO PLACEHOLDER; wide interval reflects real disagreement,
Li2CO3-Na2CO3-K2CO3 eutectic,molten_carbonate_salt,melting_point,397,C,,390,405,reported ternary eutectic melting temperature,"Vignarooban et al. 2015, Applied Energy 146",10.1016/j.apenergy.2015.01.125,DEMO PLACEHOLDER indicative value for pipeline testing,
Li2CO3-Na2CO3-K2CO3 eutectic,molten_carbonate_salt,min_operating_temperature,450,C,,420,480,practical cold-side temperature with freeze margin,"Vignarooban et al. 2015, Applied Energy 146",10.1016/j.apenergy.2015.01.125,DEMO PLACEHOLDER; system choice not a material property,
Li2CO3-Na2CO3-K2CO3 eutectic,molten_carbonate_salt,max_operating_temperature,700,C,,650,800,upper limit set by CO2 loss and decomposition in open systems,"Vignarooban et al. 2015, Applied Energy 146",10.1016/j.apenergy.2015.01.125,DEMO PLACEHOLDER; strongly dependent on CO2 partial pressure,
Li2CO3-Na2CO3-K2CO3 eutectic,molten_carbonate_salt,cost_per_tonne,2000,USD_per_tonne,,1200,3500,indicative; dominated by volatile lithium carbonate price,"Vignarooban et al. 2015, Applied Energy 146",10.1016/j.apenergy.2015.01.125,DEMO PLACEHOLDER; price basis year unclear and highly volatile,
High-temperature concrete (castable),solid_castable,density,2250,kg/m3,300,2150,2400,DLR high-temperature concrete storage module development,"Laing et al. 2012, Proceedings of the IEEE 100(2)",10.1109/JPROC.2011.2154290,DEMO PLACEHOLDER indicative value for pipeline testing,
High-temperature concrete (castable),solid_castable,heat_capacity,916,J/kg-K,300,850,1000,DLR high-temperature concrete storage module development,"Laing et al. 2012, Proceedings of the IEEE 100(2)",10.1109/JPROC.2011.2154290,DEMO PLACEHOLDER indicative value for pipeline testing,
High-temperature concrete (castable),solid_castable,thermal_conductivity,1.0,W/m-K,300,0.8,1.5,DLR high-temperature concrete storage module development,"Laing et al. 2012, Proceedings of the IEEE 100(2)",10.1109/JPROC.2011.2154290,DEMO PLACEHOLDER; degrades with cycling and moisture loss,
High-temperature concrete (castable),solid_castable,min_operating_temperature,200,C,,150,250,practical cold-side temperature for a trough-coupled module,"Laing et al. 2012, Proceedings of the IEEE 100(2)",10.1109/JPROC.2011.2154290,DEMO PLACEHOLDER; system choice not a material property,
High-temperature concrete (castable),solid_castable,max_operating_temperature,500,C,,400,550,upper limit set by dehydration cracking and strength loss,"Laing et al. 2012, Proceedings of the IEEE 100(2)",10.1109/JPROC.2011.2154290,DEMO PLACEHOLDER; long-term cycling limit likely lower,
High-temperature concrete (castable),solid_castable,cost_per_tonne,50,USD_per_tonne,,35,80,indicative storage media cost table in 2010 USD,"Gil et al. 2010, Renewable and Sustainable Energy Reviews 14(1)",10.1016/j.rser.2009.07.035,DEMO PLACEHOLDER; excludes tube register which dominates module cost,
Silica sand (packed/particle bed),solid_particulate,density,1600,kg/m3,600,1450,1750,bulk packed-bed density not solid grain density,"Ho 2016, Applied Thermal Engineering 109",10.1016/j.applthermaleng.2016.04.103,DEMO PLACEHOLDER; bulk density chosen so volumetric FOM is bed-level,
Silica sand (packed/particle bed),solid_particulate,heat_capacity,1150,J/kg-K,600,1050,1250,particle receiver media property compilation,"Ho 2016, Applied Thermal Engineering 109",10.1016/j.applthermaleng.2016.04.103,DEMO PLACEHOLDER indicative value for pipeline testing,
Silica sand (packed/particle bed),solid_particulate,thermal_conductivity,0.30,W/m-K,600,0.20,0.50,effective bed conductivity not grain conductivity,"Ho 2016, Applied Thermal Engineering 109",10.1016/j.applthermaleng.2016.04.103,DEMO PLACEHOLDER; radiation contribution grows with temperature,
Silica sand (packed/particle bed),solid_particulate,min_operating_temperature,200,C,,100,300,practical cold-side temperature,"Ho 2016, Applied Thermal Engineering 109",10.1016/j.applthermaleng.2016.04.103,DEMO PLACEHOLDER; system choice not a material property,
Silica sand (packed/particle bed),solid_particulate,max_operating_temperature,800,C,,750,1000,upper limit set by sintering agglomeration and attrition rather than melting,"Ho 2016, Applied Thermal Engineering 109",10.1016/j.applthermaleng.2016.04.103,DEMO PLACEHOLDER; durable cycle count at 800 C is a known gap,
Silica sand (packed/particle bed),solid_particulate,cost_per_tonne,40,USD_per_tonne,,25,80,indicative bulk sand cost,"Ho 2016, Applied Thermal Engineering 109",10.1016/j.applthermaleng.2016.04.103,DEMO PLACEHOLDER; excludes replacement for attrition losses,
Alumina refractory (dense),solid_ceramic,density,3200,kg/m3,800,3000,3500,dense sintered alumina refractory,"Gil et al. 2010, Renewable and Sustainable Energy Reviews 14(1)",10.1016/j.rser.2009.07.035,DEMO PLACEHOLDER indicative value for pipeline testing,
Alumina refractory (dense),solid_ceramic,heat_capacity,1150,J/kg-K,800,1050,1250,high-temperature specific heat of alumina,"Gil et al. 2010, Renewable and Sustainable Energy Reviews 14(1)",10.1016/j.rser.2009.07.035,DEMO PLACEHOLDER indicative value for pipeline testing,
Alumina refractory (dense),solid_ceramic,thermal_conductivity,5.0,W/m-K,800,3.0,8.0,alumina conductivity falls steeply with temperature and with porosity,"Gil et al. 2010, Renewable and Sustainable Energy Reviews 14(1)",10.1016/j.rser.2009.07.035,DEMO PLACEHOLDER; strong porosity dependence,
Alumina refractory (dense),solid_ceramic,min_operating_temperature,200,C,,100,300,practical cold-side temperature,"Gil et al. 2010, Renewable and Sustainable Energy Reviews 14(1)",10.1016/j.rser.2009.07.035,DEMO PLACEHOLDER; system choice not a material property,
Alumina refractory (dense),solid_ceramic,max_operating_temperature,1200,C,,1000,1500,refractory service limit well above the storage range of interest,"Gil et al. 2010, Renewable and Sustainable Energy Reviews 14(1)",10.1016/j.rser.2009.07.035,DEMO PLACEHOLDER; thermal shock not temperature is the practical limit,
Alumina refractory (dense),solid_ceramic,cost_per_tonne,1000,USD_per_tonne,,600,2000,indicative fire brick cost in 2010 USD,"Gil et al. 2010, Renewable and Sustainable Energy Reviews 14(1)",10.1016/j.rser.2009.07.035,DEMO PLACEHOLDER; 2010 basis not escalated to present,
AlSi12 alloy (metallic PCM),metallic_pcm,density,2650,kg/m3,600,2600,2700,near-eutectic aluminium-silicon alloy,"Kenisarin 2010, Renewable and Sustainable Energy Reviews 14(3)",10.1016/j.rser.2009.11.011,DEMO PLACEHOLDER indicative value for pipeline testing,
AlSi12 alloy (metallic PCM),metallic_pcm,heat_capacity,1100,J/kg-K,600,1000,1200,sensible heat capacity used for the sensible part of the swing,"Kenisarin 2010, Renewable and Sustainable Energy Reviews 14(3)",10.1016/j.rser.2009.11.011,DEMO PLACEHOLDER indicative value for pipeline testing,
AlSi12 alloy (metallic PCM),metallic_pcm,thermal_conductivity,160,W/m-K,600,120,180,metallic conduction; orders of magnitude above salt media,"Kenisarin 2010, Renewable and Sustainable Energy Reviews 14(3)",10.1016/j.rser.2009.11.011,DEMO PLACEHOLDER indicative value for pipeline testing,
AlSi12 alloy (metallic PCM),metallic_pcm,melting_point,577,C,,570,580,eutectic melting temperature of Al-12wt%Si,"Kenisarin 2010, Renewable and Sustainable Energy Reviews 14(3)",10.1016/j.rser.2009.11.011,DEMO PLACEHOLDER indicative value for pipeline testing,
AlSi12 alloy (metallic PCM),metallic_pcm,latent_heat,515,kJ/kg,577,490,540,alternative A of a deliberate disagreement pair; reported enthalpy of fusion,"Kenisarin 2010, Renewable and Sustainable Energy Reviews 14(3)",10.1016/j.rser.2009.11.011,DEMO PLACEHOLDER; unit is kJ/kg to exercise unit normalisation,yes
AlSi12 alloy (metallic PCM),metallic_pcm,latent_heat,560,kJ/kg,577,540,580,alternative B of the disagreement pair; higher commonly quoted enthalpy of fusion,"Kenisarin 2010, Renewable and Sustainable Energy Reviews 14(3)",10.1016/j.rser.2009.11.011,DEMO PLACEHOLDER; higher value not traced to a primary measurement here,yes
AlSi12 alloy (metallic PCM),metallic_pcm,min_operating_temperature,500,C,,450,540,narrow window around the melt as expected for a PCM stage,"Kenisarin 2010, Renewable and Sustainable Energy Reviews 14(3)",10.1016/j.rser.2009.11.011,DEMO PLACEHOLDER; system choice not a material property,
AlSi12 alloy (metallic PCM),metallic_pcm,max_operating_temperature,650,C,,620,700,upper limit set by containment attack by liquid aluminium alloy,"Kenisarin 2010, Renewable and Sustainable Energy Reviews 14(3)",10.1016/j.rser.2009.11.011,DEMO PLACEHOLDER; containment is the binding constraint,
AlSi12 alloy (metallic PCM),metallic_pcm,cost_per_tonne,2600,USD_per_tonne,,2000,3500,indicative aluminium alloy price,"Kenisarin 2010, Renewable and Sustainable Energy Reviews 14(3)",10.1016/j.rser.2009.11.011,DEMO PLACEHOLDER; commodity price basis year not stated,
