evidence_id,observation,source_name,citation,locator,hypothesis,effect,strength,applies_to,confidence_note,unresolved_ambiguity
EV-H23,"CHIME/FRB Catalog 1 reports 536 FRBs including 62 bursts from 18 repeating sources, and an inferred sky rate of roughly 800 events per sky per day above about 5 Jy ms at 400-800 MHz.",CHIME/FRB Catalog 1 sample,"CHIME/FRB Collaboration 2021, ApJS",abstract; population and rate sections,cataclysmic one-off channels (compact-object mergers) as the dominant FRB source,challenges,moderate,all,The sky rate is well measured for CHIME's band and selection function; converting it to a volumetric rate for comparison with merger rates requires an assumed luminosity function and redshift distribution.,The rate argument can be evaded by strong beaming or by a luminosity function with many faint events; it constrains but does not exclude cataclysmic channels.
EV-H24,"The observed repeater fraction in CHIME/FRB Catalog 1 is small (order a few percent of sources) but is consistent with a scenario in which all sources repeat at low rates, given the finite exposure.",CHIME/FRB Catalog 1 sample,"CHIME/FRB Collaboration 2021, ApJS",abstract; repeater statistics section,all FRBs repeat (single population),neutral,moderate,all,"Exposure-limited. The measured fraction is a lower limit on the true repeating fraction, not an estimate of it.",Fundamental degeneracy between a broad repetition-rate distribution in one population and two genuinely distinct populations; see frb-open-question-all-repeat.
EV-H25,Bursts from repeaters are on average temporally broader and spectrally narrower (more band-limited) than bursts from apparent non-repeaters in the CHIME sample.,CHIME/FRB Catalog 1 sample,"Pleunis et al. 2021, ApJ",abstract; morphological classification and comparison of the two samples,all FRBs repeat (single population with identical emission physics),challenges,moderate,all,The morphological difference is statistically significant in the CHIME sample but is sensitive to instrumental selection on bandwidth and duration.,"A morphological difference can arise from viewing geometry, beaming, or propagation within a single population; it does not by itself require two progenitor classes."
P01,"Extreme rotation measure of order 1e5 rad m^-2 with ~10 percent decline over about 7 months, and near-100 percent linear polarization",FRB 121102,"Michilli et al. 2018, Nature 553, 182, arXiv:1801.03965","Reported observed RM ~1.46e5 rad m^-2 (Jan 2017) falling to ~1.33e5 (Aug 2017); exact source-frame value depends on the (1+z)^2 correction, verify against source","Magnetar in a dense, highly magnetized nebula or near a massive black hole",supports,strong,single-source,"RM magnitude and its secular decline are robust; the physical identification of the Faraday screen is a model-dependent inference, not a measurement",A compact magnetized nebula and a supermassive-black-hole environment both reproduce the RM magnitude; the data do not separate them
P02,"Continued secular decline of the rotation measure over multiple years, roughly a factor of a few, without a sign change",FRB 121102,"Hilmarsson et al. 2021, ApJL 908, L10","RM decline tracked with Effelsberg and Arecibo; decline rate quoted as roughly 15 percent per year at the time, verify exact rate against source","Expanding or evolving magneto-ionic screen local to the source, e.g. a young supernova remnant or magnetar wind nebula",supports,moderate,single-source,The trend is well sampled; attributing it to expansion rather than to line-of-sight motion through a structured screen is interpretation,"Screen expansion, orbital motion, and turbulent screen crossing all predict monotonic-looking decline over a few-year baseline"
P03,"Rotation measure reversed sign twice within about a year, swinging through zero between values of order +/-1e4 rad m^-2",FRB 20190520B,"Anna-Thomas et al. 2023, Science 380, 599","Sign reversals reported from FAST and GBT monitoring; exact endpoint RM values uncertain here, verify against source",Neutron star in a binary with a magnetized wind from a massive or degenerate companion,supports,strong,single-source,The sign reversal itself is a direct measurement and is hard to produce with a static nebula; the binary interpretation is one of several,"A binary companion wind, a turbulent nebula with reversing field, and a supernova-remnant filament crossing all remain viable"
P04,"Irregular rotation measure variation of order several hundred rad m^-2 over weeks followed by a plateau, together with circular polarization reaching tens of percent in some bursts",FRB 20201124A,"Xu et al. 2022, Nature 609, 685","FAST monitoring campaign; peak circular polarization fraction quoted as high (up to ~75 percent in the paper as recalled), value uncertain, verify against source","Magnetospheric propagation or conversion in a dynamic, magnetized circumburst medium",supports,moderate,single-source,"RM variability is securely measured; circular polarization can arise both in the magnetosphere and from propagation, so the site is not fixed by this datum",Generalized Faraday conversion in a magnetized plasma screen versus intrinsic magnetospheric circular polarization
P05,"Linear polarization fraction falls with decreasing frequency across several repeaters, consistent with multipath RM scatter in a turbulent screen",Multiple repeaters,"Feng et al. 2022, Science 375, 1266",Depolarization parametrized by an RM scatter term; larger scatter associated with larger and more variable RM,"Repeaters sit in dense, turbulent, magnetized environments",supports,moderate,repeaters,"The frequency dependence is a population-level empirical trend; sample size is small and selection toward bright, well-monitored repeaters is severe",Whether the depolarizing screen is source-local or an unrelated foreground is not settled per source
P06,"Diverse polarization position angle swings within individual bursts, including swings of tens of degrees across a single burst",FRB 20180301A,"Luo et al. 2020, Nature 586, 693",FAST detection of varied PA swings across a burst sample from one repeater,Magnetospheric emission from a rotating neutron star (rotating-vector-like geometry),supports,moderate,single-source,The PA swings are measured; the rotating-vector-model reading is an interpretation contested in the literature (see the PA-swing disagreement record),Swings can be produced by magnetospheric geometry or by structure in a relativistic shock; this observation alone does not decide
P07,"Flat, essentially constant polarization position angle within and between bursts at high frequency, with near-100 percent linear polarization",FRB 121102,"Michilli et al. 2018, Nature 553, 182, arXiv:1801.03965",PA reported as constant across bursts after RM correction,Magnetospheric emission from a rotating neutron star,neutral,moderate,single-source,A flat PA is compatible with magnetospheric emission viewed along a favourable geometry and also with shock models; it is not by itself discriminating,"Flat PA and swinging PA occur in different repeaters, so PA behaviour is not a clean class marker"
P08,Smooth S-shaped polarization position angle swing of order 100 degrees within a single burst from an apparent non-repeater,FRB 20221022A,"Mckinven et al. 2025, Nature","CHIME/FRB detection; swing amplitude quoted as ~130 degrees as recalled, verify amplitude and reference details against source","Magnetospheric emission from a rotating neutron star, extended to apparent non-repeaters",supports,moderate,single-source,"Reference details are from recall and should be re-checked before being relied on; the measurement, if confirmed as described, is a direct pulsar-like analogue",Whether one PA-swinging non-repeater generalizes to the non-repeating population is untested
P09,Scintillation analysis of a single burst used to bound the transverse size of the emission region to a scale far smaller than a shock radius,FRB 20221022A,"Nimmo et al. 2025, Nature","Two-screen scintillation argument; the quoted emitting-region bound is small (order 1e4 km or less as recalled), value uncertain, verify against source",Magnetospheric (close-in) emission rather than far-away relativistic shock,supports,strong,single-source,"If the two-screen geometry holds, this is among the most direct size constraints available; the constraint is only as good as the screen-distance assumptions","Screen distances are inferred, not measured; a different screen configuration relaxes the size bound"
T10,"Periodic activity window with a period of 16.35 days, with bursts confined to roughly a five-day phase window at 400-800 MHz",FRB 20180916B,"CHIME/FRB Collaboration 2020, Nature 582, 351",Period reported as 16.35 +/- 0.15 days from CHIME/FRB monitoring,Binary orbital modulation of a neutron star by a companion wind or by beam obscuration,supports,strong,single-source,The periodicity is a robust timing result; the mechanism producing the window is not measured,"Orbital modulation, free precession of a magnetar, and ultra-slow rotation all fit a 16-day window"
T11,"The activity window shifts in phase and changes width with observing frequency, arriving later and lasting longer at low frequency",FRB 20180916B,"Pastor-Marazuela et al. 2021, Nature 596, 505; Pleunis et al. 2021, ApJL 911, L3",Apertif ~1.4 GHz versus LOFAR 110-188 MHz activity phases compared,Binary orbital modulation with a frequency-dependent absorbing or refracting wind,supports,moderate,single-source,The chromatic shift is measured in two independent low-frequency datasets; the absorption interpretation is model-dependent,A frequency-dependent window can arise from a stratified binary wind or from an intrinsically frequency-dependent emission geometry in a precessing magnetosphere
T12,"Candidate periodic activity cycle of roughly 157 days, with a duty cycle of order half",FRB 121102,"Rajwade et al. 2020, MNRAS 495, 3551","Period reported near 157 days from archival activity; later analyses have revised the value (a ~161-day value has been reported), so treat the exact period as unsettled",Long-period modulation of a repeater by an orbit or by precession,supports,weak,single-source,Derived from heterogeneous archival monitoring with strong sampling windows; the significance is far weaker than for FRB 20180916B,"Period value, and whether the modulation is real rather than an artifact of observing cadence, are both open"
T13,"Nine sub-bursts spanning about three seconds with a regular spacing of 216.8 ms, i.e. sub-second periodicity within one burst",FRB 20191221A,"CHIME/FRB Collaboration 2022, Nature 607, 256",Periodicity significance reported at the ~6.5 sigma level for a single event,"A rotating neutron star with a spin period of ~0.2 s, favouring a compact-object rotator over a shock-driven one-off",supports,strong,single-source,A single event; the detection is statistically solid but has not been repeated in another source at comparable significance,"Whether 216.8 ms is the rotation period, a harmonic of it, or a quasi-periodic magnetospheric oscillation is not determined"
T14,No periodicity found in a sample of 1652 bursts from one repeater over timescales from about 1 ms to 1000 s,FRB 121102,"Li et al. 2021, Nature 598, 267","FAST campaign, 1652 bursts in 59.5 hours; peak rate reported as ~122 bursts per hour",Rotationally modulated magnetar with a detectable spin period,challenges,moderate,single-source,"A negative result, first-class as evidence; sensitive only to periodicities within the searched range and to bursts above the detection threshold","Absence of spin periodicity may mean no rotational gating, a period outside the search range, or emission from many magnetospheric locations"
T15,"Sub-bursts drift downward in frequency with time within a burst envelope, the so-called sad-trombone effect",FRB 121102 and other repeaters,"Hessels et al. 2019, ApJL 876, L23",Complex time-frequency structure characterized at 1.4-5 GHz,"Emission from a radius-to-frequency-mapped magnetosphere, or from a decelerating shock",neutral,moderate,repeaters,The drift is a secure and now widely reproduced empirical signature; both major emission frameworks have produced drift models,"Downward drifting is predicted by both magnetospheric radius-to-frequency mapping and by shock deceleration, so it is not discriminating as usually applied"
T16,Repeater bursts are on average narrower in bandwidth and longer in duration than apparent non-repeater bursts,CHIME/FRB catalog 1 sample,"Pleunis et al. 2021, ApJL 923, L1; CHIME/FRB Collaboration 2021, ApJS 257, 59",Morphological classification of the first CHIME/FRB catalog,Repeaters and apparent non-repeaters are physically distinct populations or distinct emission states,supports,moderate,all,The morphological difference is statistically established within one instrument's band and selection function; instrumental selection is not fully removed,"The difference may reflect two progenitor classes, two emission states of one class, or beaming and viewing-angle differences"
T17,Highly polarized microstructure resolved down to microsecond timescales in a repeater,FRB 20180916B,"Nimmo et al. 2021, Nature Astronomy 5, 594",Coherent-dedispersion VLBI-style observations resolving microshots,"A compact, magnetospheric-scale emission region rather than a large shock front",supports,moderate,single-source,The timescale measurement is direct; converting it to an emission size requires assumptions about relativistic beaming and coherence,Microsecond structure can be imposed by the emitter or by propagation and lensing along the path
T18,Microsecond-scale burst structure and low burst luminosities in a repeater located in a globular cluster,FRB 20200120E,"Nimmo et al. 2022, Nature Astronomy 6, 393; Kirsten et al. 2022, Nature 602, 585",Short timescales and luminosities that overlap the pulsar/magnetar regime,"Neutron star from an old-population formation channel (globular cluster, not core collapse)",supports,strong,single-source,The environment and the short timescales are both well established; the emission mechanism is not fixed by either,"Whether this low-luminosity, old-environment source belongs to the same phenomenon as cosmological FRBs is genuinely open"
E19,"Burst energy distribution is bimodal rather than a single power law, over a large single-source sample",FRB 121102,"Li et al. 2021, Nature 598, 267",1652 bursts from FAST; bimodality reported in isotropic-equivalent energy,A single scale-free magnetospheric avalanche process producing all bursts,challenges,moderate,single-source,The bimodality is measured with high burst counts but is entangled with the detection threshold and with the source being in a high-activity state,"Bimodality may reflect two emission mechanisms, two magnetospheric regions, or a threshold-plus-saturation artifact"
E20,"A Galactic magnetar produced a millisecond radio burst with energy far below the weakest known extragalactic FRB, accompanied by a hard X-ray burst",SGR 1935+2154,"CHIME/FRB Collaboration 2020, Nature 587, 54; Bochenek et al. 2020, Nature 587, 59; Mereghetti et al. 2020, ApJL 898, L29",Radio burst detected at 400-800 MHz and at 1.4 GHz with a contemporaneous hard X-ray burst,"Magnetars produce FRB-like bursts, but a single magnetar population must span a very wide energy range",supports,strong,single-source,The radio and X-ray association is secure; the energy gap to cosmological FRBs is large and its size depends on distance assumptions for the magnetar,"Whether one luminosity function spans Galactic magnetar bursts and cosmological FRBs, or whether two source classes are involved, is unresolved"
