evidence_id,observation,source_name,citation,locator,hypothesis,effect,strength,applies_to,confidence_note,unresolved_ambiguity
T11,"The activity window shifts in phase and changes width with observing frequency, arriving later and lasting longer at low frequency","FRB 20180916B","Pastor-Marazuela et al. 2021, Nature 596, 505; Pleunis et al. 2021, ApJL 911, L3","Apertif ~1.4 GHz versus LOFAR 110-188 MHz activity phases compared","Binary orbital modulation with a frequency-dependent absorbing or refracting wind",supports,moderate,single-source,"The chromatic shift is measured in two independent low-frequency datasets; the absorption interpretation is model-dependent","A frequency-dependent window can arise from a stratified binary wind or from an intrinsically frequency-dependent emission geometry in a precessing magnetosphere"
T12,"Candidate periodic activity cycle of roughly 157 days, with a duty cycle of order half","FRB 121102","Rajwade et al. 2020, MNRAS 495, 3551","Period reported near 157 days from archival activity; later analyses have revised the value (a ~161-day value has been reported), so treat the exact period as unsettled","Long-period modulation of a repeater by an orbit or by precession",supports,weak,single-source,"Derived from heterogeneous archival monitoring with strong sampling windows; the significance is far weaker than for FRB 20180916B","Period value, and whether the modulation is real rather than an artifact of observing cadence, are both open"
T13,"Nine sub-bursts spanning about three seconds with a regular spacing of 216.8 ms, i.e. sub-second periodicity within one burst","FRB 20191221A","CHIME/FRB Collaboration 2022, Nature 607, 256","Periodicity significance reported at the ~6.5 sigma level for a single event","A rotating neutron star with a spin period of ~0.2 s, favouring a compact-object rotator over a shock-driven one-off",supports,strong,single-source,"A single event; the detection is statistically solid but has not been repeated in another source at comparable significance","Whether 216.8 ms is the rotation period, a harmonic of it, or a quasi-periodic magnetospheric oscillation is not determined"
T14,"No periodicity found in a sample of 1652 bursts from one repeater over timescales from about 1 ms to 1000 s","FRB 121102","Li et al. 2021, Nature 598, 267","FAST campaign, 1652 bursts in 59.5 hours; peak rate reported as ~122 bursts per hour","Rotationally modulated magnetar with a detectable spin period",challenges,moderate,single-source,"A negative result, first-class as evidence; sensitive only to periodicities within the searched range and to bursts above the detection threshold","Absence of spin periodicity may mean no rotational gating, a period outside the search range, or emission from many magnetospheric locations"
T15,"Sub-bursts drift downward in frequency with time within a burst envelope, the so-called sad-trombone effect","FRB 121102 and other repeaters","Hessels et al. 2019, ApJL 876, L23","Complex time-frequency structure characterized at 1.4-5 GHz","Emission from a radius-to-frequency-mapped magnetosphere, or from a decelerating shock",neutral,moderate,repeaters,"The drift is a secure and now widely reproduced empirical signature; both major emission frameworks have produced drift models","Downward drifting is predicted by both magnetospheric radius-to-frequency mapping and by shock deceleration, so it is not discriminating as usually applied"
T16,"Repeater bursts are on average narrower in bandwidth and longer in duration than apparent non-repeater bursts","CHIME/FRB catalog 1 sample","Pleunis et al. 2021, ApJL 923, L1; CHIME/FRB Collaboration 2021, ApJS 257, 59","Morphological classification of the first CHIME/FRB catalog","Repeaters and apparent non-repeaters are physically distinct populations or distinct emission states",supports,moderate,all,"The morphological difference is statistically established within one instrument's band and selection function; instrumental selection is not fully removed","The difference may reflect two progenitor classes, two emission states of one class, or beaming and viewing-angle differences"
T17,"Highly polarized microstructure resolved down to microsecond timescales in a repeater","FRB 20180916B","Nimmo et al. 2021, Nature Astronomy 5, 594","Coherent-dedispersion VLBI-style observations resolving microshots","A compact, magnetospheric-scale emission region rather than a large shock front",supports,moderate,single-source,"The timescale measurement is direct; converting it to an emission size requires assumptions about relativistic beaming and coherence","Microsecond structure can be imposed by the emitter or by propagation and lensing along the path"
T18,"Microsecond-scale burst structure and low burst luminosities in a repeater located in a globular cluster","FRB 20200120E","Nimmo et al. 2022, Nature Astronomy 6, 393; Kirsten et al. 2022, Nature 602, 585","Short timescales and luminosities that overlap the pulsar/magnetar regime","Neutron star from an old-population formation channel (globular cluster, not core collapse)",supports,strong,single-source,"The environment and the short timescales are both well established; the emission mechanism is not fixed by either","Whether this low-luminosity, old-environment source belongs to the same phenomenon as cosmological FRBs is genuinely open"
E19,"Burst energy distribution is bimodal rather than a single power law, over a large single-source sample","FRB 121102","Li et al. 2021, Nature 598, 267","1652 bursts from FAST; bimodality reported in isotropic-equivalent energy","A single scale-free magnetospheric avalanche process producing all bursts",challenges,moderate,single-source,"The bimodality is measured with high burst counts but is entangled with the detection threshold and with the source being in a high-activity state","Bimodality may reflect two emission mechanisms, two magnetospheric regions, or a threshold-plus-saturation artifact"
E20,"A Galactic magnetar produced a millisecond radio burst with energy far below the weakest known extragalactic FRB, accompanied by a hard X-ray burst","SGR 1935+2154","CHIME/FRB Collaboration 2020, Nature 587, 54; Bochenek et al. 2020, Nature 587, 59; Mereghetti et al. 2020, ApJL 898, L29","Radio burst detected at 400-800 MHz and at 1.4 GHz with a contemporaneous hard X-ray burst","Magnetars produce FRB-like bursts, but a single magnetar population must span a very wide energy range",supports,strong,single-source,"The radio and X-ray association is secure; the energy gap to cosmological FRBs is large and its size depends on distance assumptions for the magnetar","Whether one luminosity function spans Galactic magnetar bursts and cosmological FRBs, or whether two source classes are involved, is unresolved"
